šifra,naziv,grupa,kolicina,nabavna_cijena,marza,cijena,rabat
5921,HP LASERJET PRO M1132 MFP,PRINTER,1,900.00,42.13,1599.00,0.00
5922,WD MY PASSPORT ULTRA 2TB,PC,1,970.19,21.17,1249.00,15.00
5923,CYBERPOWER SB0601BA PRENAPONSKA ZAŠ,AUDIOVIDEO PROGRAM,3,74.61,24.88,99.00,15.00
5924,PVC FOLIJA PROZIRNA CD/DVD 100 KOM,AUDIOVIDEO PROGRAM,0,28.81,0.00,60.00,0.00
5925,SAMSUNG MICRO SD+ADAPT. 32GB HC,FOTO,2,169.47,70.81,275.00,24.00
5926,GENIUS HS-04SU SET SLUŠALICE,AUDIOVIDEO PROGRAM,5,55.32,62.93,89.00,21.00
5927,GENIUS HS-500X SLUŠALICE,AUDIOVIDEO PROGRAM,5,42.72,63.56,69.00,21.00
5928,GENIUS HS-300N SLUŠALICE,AUDIOVIDEO PROGRAM,5,32.50,71.41,55.00,21.00
5929,FS-4201SR 1 KANAL.PASIVNI VIDEO BAL.,AUDIOVIDEO PROGRAM,10,67.20,88.89,119.00,25.00
5930,ORINK CANON CLI-551BK-X BLACK,PRINTER,2,21.00,249.21,55.00,40.00
5931,ORINK CANON CLI-551C-XL CYAN,PRINTER,2,21.00,249.21,55.00,40.00
5932,ORINK CANON CLI-551M-XL MAGNETA,PRINTER,2,21.00,249.21,55.00,40.00
5933,DVR-811ZS-J DIGIT. VIDEO SNIMAČ 8-KANAL.,AUDIOVIDEO PROGRAM,1,1279.21,98.44,1999.00,37.00
5934,KABEL ZA ZVUČNIKE 2x1mm PROFI,AUDIOVIDEO PROGRAM,100,1.79,179.72,5.00,20.00
5935,ORINK CANON CLI-551Y-XL YELLOW,PRINTER,2,21.00,249.21,55.00,40.00
5936,TOSHIBA RAS B10 N3KV2-E1 (2016/2017) UNUTARNJA,KLIMA,1,1760.00,33.33,2200.00,25.00
5937,TOSHIBA RAS 13 N3AV2-E VANJSKA,KLIMA,1,3440.00,42.64,4600.00,25.00
5938,TOSHIBA RAS B13 N3KV2-E UNUTARNJA,KLIMA,1,1980.00,30.91,2430.00,25.00
5939,TOSHIBA RAS 16 N3AV2-E VANJSKA,KLIMA,1,4110.00,39.50,5375.00,25.00
5940,TOSHIBA RAS B16 N3KV2-E UNUTARNJA,KLIMA,1,2150.00,67.60,3470.00,22.96
5941,TELE2 PRET TELE2FON V5,TELE2,1,876.00,27.40,1395.00,0.00
5942,TOSHIBA SATELLITE C50-A-11F,PC,1,1990.00,48.70,3699.00,0.00
5943,NOKIA ASHA 202 BIJELA,MOBITELI,0,0.00,0.00,699.00,0.00
5944,OLYMPUS KIT 50B,FOTO,1,169.00,45.52,249.00,19.00
5945,LENOVO IDEAPAD G500 UX59390480,PC,3,1649.00,40.64,2899.00,0.00
5946,SHARP LED 32LD 145V,TELEVIZIJA,1,1407.00,30.72,2299.00,0.00
5947,PIONEER DDJ-WEGO2-W,DJ OPREMA,2,1520.00,52.58,2499.00,0.00
5948,"TOSHIBA HDD 1TB 2.5"" STOR.E PLUS",PC,1,491.53,39.80,699.00,18.62
5949,SONY ZS-S10CP RADIO CD,AUDIOVIDEO PROGRAM,3,378.05,60.45,599.00,21.00
5950,PRESTIGIO MULTIPHONE 5400 BLACK,MOBITELI,1,650.00,72.19,1399.00,0.00
5951,SAMSUNG MICRO SD + ADAPTER 4GB,AUDIOVIDEO PROGRAM,0,0.00,0.00,65.00,0.00
5952,SAMSUNG SD 8GB CLASS 10,AUDIOVIDEO PROGRAM,0,0.00,0.00,129.00,0.00
5953,DELL P2214H LED MONITOR,PC,1,1010.00,34.57,1699.00,0.00
5954,ADATA MICRO SD 32GB,AUDIOVIDEO PROGRAM,2,168.49,55.56,249.00,24.00
5955,PRESTIGIO MULTIPHONE 5451 DUO BLACK,MOBITELI,2,688.61,97.38,1699.00,0.00
5956,PRESTIGIO MULTIPHONE 5500 DUO BLACK,MOBITELI,1,720.00,99.89,1799.00,0.00
5957,TELE2 PRET. SONY XPERIA Z1 BLACK,TELE2,2,4316.00,3.71,5595.00,0.00
5958,TELE2 PRET SAM. GT-C3595 RED,TELE2,1,676.00,17.75,995.00,0.00
5959,TELE2 PRET SAM. GT-C3595 SILVER,TELE2,1,676.00,17.75,995.00,0.00
5960,SONY PS3 ULTRA SLIM 500GB,PLAY STATION,2,1570.00,27.34,2499.00,0.00
5961,ŽARULJA TWISTLINE 35W GU10 230V 2/1,BIJELA TEHNIKA,25,19.40,3.09,25.00,0.00
5962,VIVAX IMAGO TV-39LE70,TELEVIZIJA,1,1780.00,34.79,2999.00,0.00
5963,SHURE PG 24E/PG58-T10,AUDIOVIDEO PROGRAM,0,0.00,0.00,2490.00,0.00
5964,GARMIN NUVI 40 CENTRALNA EUROPA+ADRIAROUTE,AUDIOVIDEO PROGRAM,0,0.00,0.00,1099.00,0.00
5965,"VIVAX TPC-71253G 7""",MOBITELI,1,680.00,29.29,1299.00,0.00
5966,LENOVO IDEAPHONE A390,MOBITELI,-1,659.00,53.35,1099.00,13.00
5967,LENOVO IDEAPHONE A630,MOBITELI,2,749.00,47.20,1199.00,13.00
5968,YARVIK YAC210 AUTO PUNJAČ 5V,PC,1,81.13,38.05,119.00,15.00
5969,PENTAX OPTIO WG1 + TORBICA BLACK,FOTOAPARAT,0,1079.00,0.00,1999.00,0.00
